timestep,time,price [EUR/kWh],grid supply [kW],fixed load [kW],battery power [kW],bat. stored energy [kWh],flex band min [kW],flex band base [kW],flex band max [kW],battery feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],CS_golf_0 [kW],CS_sprinter_0 [kW]
0,2024-05-13 00:00:00,0.0849,-0.0,0,0.0,0.0,0.0,0,83.0,0.0,0.0,2,0,0.0,0.0
1,2024-05-13 00:15:00,0.06695000000000001,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
2,2024-05-13 00:30:00,0.02689,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
3,2024-05-13 00:45:00,0.0101,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
4,2024-05-13 01:00:00,0.0251,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
5,2024-05-13 01:15:00,0.05858,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
6,2024-05-13 01:30:00,0.040530000000000004,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
7,2024-05-13 01:45:00,0.05866,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
8,2024-05-13 02:00:00,0.01509,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
9,2024-05-13 02:15:00,0.054939999999999996,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
10,2024-05-13 02:30:00,0.05583,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
11,2024-05-13 02:45:00,0.04093,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
12,2024-05-13 03:00:00,0.01141,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
13,2024-05-13 03:15:00,0.06491,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
14,2024-05-13 03:30:00,0.0699,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
15,2024-05-13 03:45:00,0.0201,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
16,2024-05-13 04:00:00,0.00547,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
17,2024-05-13 04:15:00,0.0101,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
18,2024-05-13 04:30:00,0.0799,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
19,2024-05-13 04:45:00,0.09492,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
20,2024-05-13 05:00:00,0.01002,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
21,2024-05-13 05:15:00,0.02504,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
22,2024-05-13 05:30:00,0.09490000000000001,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
23,2024-05-13 05:45:00,0.13321,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
24,2024-05-13 06:00:00,0.09491,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
25,2024-05-13 06:15:00,0.09991,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
26,2024-05-13 06:30:00,0.09193000000000001,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
27,2024-05-13 06:45:00,0.06509000000000001,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
28,2024-05-13 07:00:00,0.13995,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
29,2024-05-13 07:15:00,0.11493,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
30,2024-05-13 07:30:00,0.09491,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
31,2024-05-13 07:45:00,0.04176,-0.0,0,0.0,0.0,-50.0,0,83.0,0.0,0.0,2,0,0.0,0.0
32,2024-05-13 08:00:00,0.14493,-0.0,0,0.0,0.0,-50.0,0,72.0,0.0,0.0,1,0,0.0,0
33,2024-05-13 08:15:00,0.10991,-0.0,0,0.0,0.0,-50.0,0,72.0,0.0,0.0,1,0,0.0,0
34,2024-05-13 08:30:00,0.06472,-0.0,0,0.0,0.0,-50.0,0,72.0,0.0,0.0,1,0,0.0,0
35,2024-05-13 08:45:00,-0.01992,-72.0,0,50.0,0.0,-50.0,0,72.0,0,22.0,1,1,22.0,0
36,2024-05-13 09:00:00,0.11491,-0.0,0,0.0,11.875,-50.0,0,50.0,-0.0,0,0,0,0,0
37,2024-05-13 09:15:00,0.08491,-0.0,0,0.0,11.875,-50.0,0,50.0,-0.0,0,0,0,0,0
38,2024-05-13 09:30:00,0.04728,-0.0,0,0.0,11.875,-50.0,0,50.0,-0.0,0,0,0,0,0
39,2024-05-13 09:45:00,0.019899999999999998,-0.0,0,0.0,11.875,-50.0,0,50.0,-0.0,0,0,0,0,0
40,2024-05-13 10:00:00,0.07995000000000001,-0.0,0,0.0,11.875,-50.0,0,50.0,-0.0,0,0,0,0,0
41,2024-05-13 10:15:00,0.05993,-0.0,0,0.0,11.875,-50.0,0,50.0,-0.0,0,0,0,0,0
42,2024-05-13 10:30:00,0.03993,-0.0,0,0.0,11.875,-50.0,0,50.0,-0.0,0,0,0,0,0
43,2024-05-13 10:45:00,-0.00017999999999999998,-50.0,0,50.0,11.875,-50.0,0,50.0,0,0,0,0,0,0
44,2024-05-13 11:00:00,0.054920000000000004,-0.0,0,0.0,23.75,-50.0,0,50.0,-0.0,0,0,0,0,0
45,2024-05-13 11:15:00,-0.00739,-50.0,0,50.0,23.75,-50.0,0,50.0,0,0,0,0,0,0
46,2024-05-13 11:30:00,0.03492,-0.0,0,0.0,35.625,-50.0,0,50.0,-0.0,0,0,0,0,0
47,2024-05-13 11:45:00,0.02494,-0.0,0,0.0,35.625,-50.0,0,50.0,-0.0,0,0,0,0,0
48,2024-05-13 12:00:00,0.03491,-0.0,0,0.0,35.625,-50.0,0,50.0,-0.0,0,0,0,0,0
49,2024-05-13 12:15:00,-0.01991,-50.0,0,50.0,35.625,-50.0,0,50.0,0,0,0,0,0,0
50,2024-05-13 12:30:00,0.024489999999999998,-0.0,0,0.0,47.5,-50.0,0,50.0,-0.0,0,0,0,0,0
51,2024-05-13 12:45:00,0.03491,-0.0,0,0.0,47.5,-50.0,0,50.0,-0.0,0,0,0,0,0
