timestep,time,price [EUR/kWh],grid supply [kW],fixed load [kW],battery power [kW],bat. stored energy [kWh],flex band min [kW],flex band base [kW],flex band max [kW],battery feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],CS_golf_0 [kW],CS_golf_1 [kW],CS_golf_2 [kW],CS_sprinter_0 [kW],CS_sprinter_1 [kW],CS_sprinter_2 [kW]
0,2024-05-13 00:00:00,84.9,-0.0,0,0,0.0,0.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-05-13 00:15:00,66.95,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-05-13 00:30:00,26.89,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-05-13 00:45:00,10.1,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-05-13 01:00:00,25.1,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-05-13 01:15:00,58.58,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-05-13 01:30:00,40.53,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-05-13 01:45:00,58.66,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-05-13 02:00:00,15.09,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-05-13 02:15:00,54.94,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-05-13 02:30:00,55.83,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-05-13 02:45:00,40.93,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-05-13 03:00:00,11.41,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-05-13 03:15:00,64.91,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-05-13 03:30:00,69.9,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-05-13 03:45:00,20.1,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-05-13 04:00:00,5.47,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-05-13 04:15:00,10.1,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-05-13 04:30:00,79.9,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-05-13 04:45:00,94.92,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-05-13 05:00:00,10.02,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
21,2024-05-13 05:15:00,25.04,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
22,2024-05-13 05:30:00,94.9,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
23,2024-05-13 05:45:00,133.21,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
24,2024-05-13 06:00:00,94.91,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
25,2024-05-13 06:15:00,99.91,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
26,2024-05-13 06:30:00,91.93,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
27,2024-05-13 06:45:00,65.09,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
28,2024-05-13 07:00:00,139.95,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
29,2024-05-13 07:15:00,114.93,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
30,2024-05-13 07:30:00,94.91,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
31,2024-05-13 07:45:00,41.76,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
32,2024-05-13 08:00:00,144.93,-0.0,0,0,0.0,-50.0,0,100.0,0.0,0.0,4,0,0.0,0,0,0.0,0.0,0.0
33,2024-05-13 08:15:00,109.91,-0.0,0,0,0.0,-50.0,0,94,0.0,0.0,3,0,0.0,0,0,0.0,0,0.0
34,2024-05-13 08:30:00,64.72,-0.0,0,0,0.0,-50.0,0,72,0.0,0.0,1,0,0.0,0,0,0,0,0
35,2024-05-13 08:45:00,-19.92,-0.0,0,0,0.0,-50.0,0,72,0.0,0.0,1,0,0.0,0,0,0,0,0
36,2024-05-13 09:00:00,114.91,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
37,2024-05-13 09:15:00,84.91,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
38,2024-05-13 09:30:00,47.28,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
39,2024-05-13 09:45:00,19.9,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
40,2024-05-13 10:00:00,79.95,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
41,2024-05-13 10:15:00,59.93,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
42,2024-05-13 10:30:00,39.93,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
43,2024-05-13 10:45:00,-0.18,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
44,2024-05-13 11:00:00,54.92,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
45,2024-05-13 11:15:00,-7.39,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
46,2024-05-13 11:30:00,34.92,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
47,2024-05-13 11:45:00,24.94,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
48,2024-05-13 12:00:00,34.91,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
49,2024-05-13 12:15:00,-19.91,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
50,2024-05-13 12:30:00,24.49,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
51,2024-05-13 12:45:00,34.91,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
52,2024-05-13 13:00:00,-29.91,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
53,2024-05-13 13:15:00,29.9,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
54,2024-05-13 13:30:00,22.1,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
55,2024-05-13 13:45:00,-4.9,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
56,2024-05-13 14:00:00,19.96,0,0,0,0.0,-50.0,0,50,0,0,0,0,0,0,0,0,0,0
57,2024-05-13 14:15:00,1.73,-22.0,0,0,0.0,-50.0,0,72,0,22.0,1,1,0,0,22.0,0,0,0
58,2024-05-13 14:30:00,-9.91,-22.0,0,0,0.0,-50.0,0,72,0,22.0,1,1,0,0,22.0,0,0,0
59,2024-05-13 14:45:00,5.08,-0.0,0,0,0.0,-50.0,0,72,0.0,0.0,1,0,0,0,0.0,0,0,0
60,2024-05-13 15:00:00,-34.92,-22.0,0,0,0.0,-50.0,0,94,0,22.0,2,1,0,22.0,0.0,0,0,0
61,2024-05-13 15:15:00,-13.05,-22.0,0,0,0.0,-50.0,0,94,0,22.0,2,1,0,22.0,0.0,0,0,0
62,2024-05-13 15:30:00,5.09,-0.0,0,0,0.0,-50.0,0,94,0.0,0.0,2,0,0,0.0,0.0,0,0,0
63,2024-05-13 15:45:00,74.93,-0.0,0,0,0.0,-50.0,0,94,0.0,0.0,2,0,0,0.0,0.0,0,0,0
64,2024-05-13 16:00:00,-29.93,-0.0,0,0,0.0,-50.0,0,94,0.0,0.0,2,0,0,0.0,0.0,0,0,0
65,2024-05-13 16:15:00,-4.94,-0.0,0,0,0.0,-50.0,0,94,0.0,0.0,2,0,0,0.0,0.0,0,0,0
66,2024-05-13 16:30:00,20.08,-11.0,0,0,0.0,-50.0,0,100.0,0,11.0,3,1,0,0.0,0.0,0,11.0,0
67,2024-05-13 16:45:00,88.87,-11.0,0,0,0.0,-50.0,0,100.0,0,11.0,3,1,0,0.0,0.0,0,11.0,0
68,2024-05-13 17:00:00,-29.91,-11.0,0,0,0.0,-50.0,0,100.0,0,11.0,3,1,0,0.0,0.0,0,11.0,0
69,2024-05-13 17:15:00,64.92,-22.0,0,0,0.0,-50.0,0,100.0,0,22.0,4,2,0,0.0,0.0,0,11.0,11.0
