timestep,time,price [EUR/kWh],grid supply [kW],fixed load [kW],battery power [kW],bat. stored energy [kWh],flex band min [kW],flex band base [kW],flex band max [kW],battery feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],CS_golf_0 [kW],CS_sprinter_0 [kW]
0,2024-05-13 00:00:00,84.9,-0.351,0,0.351,0.0,0.0,0,83,0,0,2,0,0,0
1,2024-05-13 00:15:00,66.95,-0.367,0,0.367,0.083,-50.0,0,83,0,0,2,0,0,0
2,2024-05-13 00:30:00,26.89,-0.382,0,0.382,0.17,-50.0,0,83,0,0,2,0,0,0
3,2024-05-13 00:45:00,10.1,-0.398,0,0.398,0.261,-50.0,0,83,0,0,2,0,0,0
4,2024-05-13 01:00:00,25.1,-0.413,0,0.413,0.356,-50.0,0,83,0,0,2,0,0,0
5,2024-05-13 01:15:00,58.58,-0.429,0,0.429,0.454,-50.0,0,83,0,0,2,0,0,0
6,2024-05-13 01:30:00,40.53,-0.444,0,0.444,0.556,-50.0,0,83,0,0,2,0,0,0
7,2024-05-13 01:45:00,58.66,-0.459,0,0.459,0.661,-50.0,0,83,0,0,2,0,0,0
8,2024-05-13 02:00:00,15.09,-0.474,0,0.474,0.77,-50.0,0,83,0,0,2,0,0,0
9,2024-05-13 02:15:00,54.94,-0.489,0,0.489,0.883,-50.0,0,83,0,0,2,0,0,0
10,2024-05-13 02:30:00,55.83,-0.504,0,0.504,0.999,-50.0,0,83,0,0,2,0,0,0
11,2024-05-13 02:45:00,40.93,-0.519,0,0.519,1.118,-50.0,0,83,0,0,2,0,0,0
12,2024-05-13 03:00:00,11.41,-0.533,0,0.533,1.242,-50.0,0,83,0,0,2,0,0,0
13,2024-05-13 03:15:00,64.91,-0.548,0,0.548,1.368,-50.0,0,83,0,0,2,0,0,0
14,2024-05-13 03:30:00,69.9,-0.562,0,0.562,1.498,-50.0,0,83,0,0,2,0,0,0
15,2024-05-13 03:45:00,20.1,-0.577,0,0.577,1.632,-50.0,0,83,0,0,2,0,0,0
16,2024-05-13 04:00:00,5.47,-0.591,0,0.591,1.769,-50.0,0,83,0,0,2,0,0,0
17,2024-05-13 04:15:00,10.1,-0.605,0,0.605,1.909,-50.0,0,83,0,0,2,0,0,0
18,2024-05-13 04:30:00,79.9,-0.619,0,0.619,2.053,-50.0,0,83,0,0,2,0,0,0
19,2024-05-13 04:45:00,94.92,-0.633,0,0.633,2.2,-50.0,0,83,0,0,2,0,0,0
20,2024-05-13 05:00:00,10.02,-0.646,0,0.646,2.35,-50.0,0,83,0,0,2,0,0,0
21,2024-05-13 05:15:00,25.04,-0.66,0,0.66,2.504,-50.0,0,83,0,0,2,0,0,0
22,2024-05-13 05:30:00,94.9,-0.673,0,0.673,2.66,-50.0,0,83,0,0,2,0,0,0
23,2024-05-13 05:45:00,133.21,-0.687,0,0.687,2.82,-50.0,0,83,0,0,2,0,0,0
24,2024-05-13 06:00:00,94.91,-0.7,0,0.7,2.983,-50.0,0,83,0,0,2,0,0,0
25,2024-05-13 06:15:00,99.91,-0.713,0,0.713,3.15,-50.0,0,83,0,0,2,0,0,0
26,2024-05-13 06:30:00,91.93,-0.726,0,0.726,3.319,-50.0,0,83,0,0,2,0,0,0
27,2024-05-13 06:45:00,65.09,-0.739,0,0.739,3.491,-50.0,0,83,0,0,2,0,0,0
28,2024-05-13 07:00:00,139.95,-0.751,0,0.751,3.667,-50.0,0,83,0,0,2,0,0,0
29,2024-05-13 07:15:00,114.93,-0.764,0,0.764,3.845,-50.0,0,83,0,0,2,0,0,0
30,2024-05-13 07:30:00,94.91,-0.776,0,0.776,4.027,-50.0,0,83,0,0,2,0,0,0
31,2024-05-13 07:45:00,41.76,-0.789,0,0.789,4.211,-50.0,0,83,0,0,2,0,0,0
32,2024-05-13 08:00:00,144.93,-0.801,0,0.801,4.398,-50.0,0,72,0,0,1,0,0,0
33,2024-05-13 08:15:00,109.91,-0.807,0,0.807,4.589,-50.0,0,72,0,0,1,0,0,0
34,2024-05-13 08:30:00,64.72,-0.813,0,0.813,4.78,-50.0,0,72,0,0,1,0,0,0
35,2024-05-13 08:45:00,-19.92,-0.824,0,0.824,4.973,-50.0,0,72,0,0,1,0,0,0
36,2024-05-13 09:00:00,114.91,-0.834,0,0.834,5.169,-50.0,0,50,0,0,0,0,0,0
37,2024-05-13 09:15:00,84.91,-0.844,0,0.844,5.367,-50.0,0,50,0,0,0,0,0,0
38,2024-05-13 09:30:00,47.28,-0.854,0,0.854,5.568,-50.0,0,50,0,0,0,0,0,0
39,2024-05-13 09:45:00,19.9,-0.864,0,0.864,5.77,-50.0,0,50,0,0,0,0,0,0
40,2024-05-13 10:00:00,79.95,-0.873,0,0.873,5.975,-50.0,0,50,0,0,0,0,0,0
41,2024-05-13 10:15:00,59.93,-0.883,0,0.883,6.183,-50.0,0,50,0,0,0,0,0,0
42,2024-05-13 10:30:00,39.93,-0.892,0,0.892,6.393,-50.0,0,50,0,0,0,0,0,0
43,2024-05-13 10:45:00,-0.18,-0.902,0,0.902,6.604,-50.0,0,50,0,0,0,0,0,0
44,2024-05-13 11:00:00,54.92,-0.911,0,0.911,6.819,-50.0,0,50,0,0,0,0,0,0
45,2024-05-13 11:15:00,-7.39,-0.92,0,0.92,7.035,-50.0,0,50,0,0,0,0,0,0
46,2024-05-13 11:30:00,34.92,-0.929,0,0.929,7.254,-50.0,0,50,0,0,0,0,0,0
47,2024-05-13 11:45:00,24.94,-0.938,0,0.938,7.474,-50.0,0,50,0,0,0,0,0,0
48,2024-05-13 12:00:00,34.91,-0.947,0,0.947,7.697,-50.0,0,50,0,0,0,0,0,0
49,2024-05-13 12:15:00,-19.91,-0.956,0,0.956,7.922,-50.0,0,50,0,0,0,0,0,0
50,2024-05-13 12:30:00,24.49,-0.964,0,0.964,8.149,-50.0,0,50,0,0,0,0,0,0
51,2024-05-13 12:45:00,34.91,-0.973,0,0.973,8.378,-50.0,0,50,0,0,0,0,0,0
52,2024-05-13 13:00:00,-29.91,-0.981,0,0.981,8.609,-50.0,0,50,0,0,0,0,0,0
53,2024-05-13 13:15:00,29.9,-0.99,0,0.99,8.842,-50.0,0,50,0,0,0,0,0,0
54,2024-05-13 13:30:00,22.1,-0.998,0,0.998,9.077,-50.0,0,50,0,0,0,0,0,0
55,2024-05-13 13:45:00,-4.9,-1.005,0,1.005,9.314,-50.0,0,50,0,0,0,0,0,0
56,2024-05-13 14:00:00,19.96,-1.012,0,1.012,9.553,-50.0,0,50,0,0,0,0,0,0
57,2024-05-13 14:15:00,1.73,-1.018,0,1.018,9.793,-50.0,0,50,0,0,0,0,0,0
58,2024-05-13 14:30:00,-9.91,-1.024,0,1.024,10.035,-50.0,0,50,0,0,0,0,0,0
59,2024-05-13 14:45:00,5.08,-1.029,0,1.029,10.278,-50.0,0,50,0,0,0,0,0,0
60,2024-05-13 15:00:00,-34.92,-1.033,0,-0.582,10.523,-50.0,0,61,0,1.615,1,1,0,1.615
61,2024-05-13 15:15:00,-13.05,-1.037,0,-0.578,10.369,-50.0,0,61,0,1.615,1,1,0,1.615
62,2024-05-13 15:30:00,5.09,-1.04,0,-0.575,10.217,-50.0,0,61,0,1.615,1,1,0,1.615
63,2024-05-13 15:45:00,74.93,-1.042,0,-0.573,10.066,-50.0,0,61,0,1.615,1,1,0,1.615
64,2024-05-13 16:00:00,-29.93,-1.044,0,-0.572,9.915,-50.0,0,61,0,1.615,1,1,0,1.615
65,2024-05-13 16:15:00,-4.94,-1.044,0,-0.571,9.765,-50.0,0,61,0,1.615,1,1,0,1.615
66,2024-05-13 16:30:00,20.08,-1.044,0,-0.571,9.614,-50.0,0,61,0,1.615,1,1,0,1.615
67,2024-05-13 16:45:00,88.87,-1.044,0,-0.571,9.464,-50.0,0,61,0,1.615,1,1,0,1.615
68,2024-05-13 17:00:00,-29.91,-1.044,0,-0.571,9.314,-50.0,0,61,0,1.615,1,1,0,1.615
69,2024-05-13 17:15:00,64.92,-1.044,0,-0.571,9.164,-50.0,0,61,0,1.615,1,1,0,1.615
