timestep,time,price [EUR/kWh],grid supply [kW],fixed load [kW],battery power [kW],bat. stored energy [kWh],flex band min [kW],flex band base [kW],flex band max [kW],battery feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],CS_Tesla Model 3_0 [kW],CS_Tesla Model 3_1 [kW],CS_Tesla Model 3_2 [kW],CS_Tesla Model 3_3 [kW],CS_Tesla Model 3_4 [kW],CS_Tesla Model 3_5 [kW],CS_Tesla Model 3_6 [kW],CS_Tesla Model 3_7 [kW],CS_Tesla Model 3_8 [kW],CS_Tesla Model 3_9 [kW]
0,2024-06-17 00:00:00,0.17662,-0.0,0,0.0,0.0,0.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
1,2024-06-17 00:15:00,0.17662,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
2,2024-06-17 00:30:00,0.17662,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
3,2024-06-17 00:45:00,0.17662,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
4,2024-06-17 01:00:00,0.16673,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
5,2024-06-17 01:15:00,0.16673,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
6,2024-06-17 01:30:00,0.16673,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
7,2024-06-17 01:45:00,0.16673,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
8,2024-06-17 02:00:00,0.16881000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
9,2024-06-17 02:15:00,0.16881000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
10,2024-06-17 02:30:00,0.16881000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
11,2024-06-17 02:45:00,0.16881000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
12,2024-06-17 03:00:00,0.17181000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
13,2024-06-17 03:15:00,0.17181000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
14,2024-06-17 03:30:00,0.17181000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
15,2024-06-17 03:45:00,0.17181000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
16,2024-06-17 04:00:00,0.17356,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
17,2024-06-17 04:15:00,0.17356,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
18,2024-06-17 04:30:00,0.17356,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
19,2024-06-17 04:45:00,0.17356,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
20,2024-06-17 05:00:00,0.19002000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
21,2024-06-17 05:15:00,0.19002000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
22,2024-06-17 05:30:00,0.19002000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
23,2024-06-17 05:45:00,0.19002000000000002,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
24,2024-06-17 06:00:00,0.21913,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
25,2024-06-17 06:15:00,0.21913,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
26,2024-06-17 06:30:00,0.21913,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
27,2024-06-17 06:45:00,0.21913,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
28,2024-06-17 07:00:00,0.23268000000000003,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
29,2024-06-17 07:15:00,0.23268000000000003,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
30,2024-06-17 07:30:00,0.23268000000000003,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
31,2024-06-17 07:45:00,0.23268000000000003,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,10,0,0,0,0,0,0,0,0,0,0,0
32,2024-06-17 08:00:00,0.21623,-0.0,0,0.0,0.0,-50.0,0,50.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
