timestep,time,price [EUR/kWh],grid supply [kW],fixed load [kW],battery power [kW],bat. stored energy [kWh],flex band min [kW],flex band base [kW],flex band max [kW],battery feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],CS_Tesla Model 3_0 [kW],CS_Tesla Model 3_1 [kW],CS_Tesla Model 3_2 [kW],CS_Tesla Model 3_3 [kW],CS_Tesla Model 3_4 [kW],CS_Tesla Model 3_5 [kW],CS_Tesla Model 3_6 [kW],CS_Tesla Model 3_7 [kW],CS_Tesla Model 3_8 [kW],CS_Tesla Model 3_9 [kW]
0,2024-06-17 00:00:00,0.17662,-2.268,0,2.268,0.0,0.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1,2024-06-17 00:15:00,0.17662,-2.472,0,2.472,0.539,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2,2024-06-17 00:30:00,0.17662,-2.684,0,2.684,1.126,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
3,2024-06-17 00:45:00,0.17662,-2.905,0,2.905,1.763,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
4,2024-06-17 01:00:00,0.16673,-3.136,0,3.136,2.453,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
5,2024-06-17 01:15:00,0.16673,-3.375,0,3.375,3.198,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
6,2024-06-17 01:30:00,0.16673,-3.622,0,3.622,4.0,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
7,2024-06-17 01:45:00,0.16673,-3.878,0,3.878,4.86,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
8,2024-06-17 02:00:00,0.16881000000000002,-4.144,0,4.144,5.781,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
9,2024-06-17 02:15:00,0.16881000000000002,-4.418,0,4.418,6.766,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
10,2024-06-17 02:30:00,0.16881000000000002,-4.699,0,4.699,7.815,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
11,2024-06-17 02:45:00,0.16881000000000002,-4.99,0,4.99,8.931,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
12,2024-06-17 03:00:00,0.17181000000000002,-5.29,0,5.29,10.116,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
13,2024-06-17 03:15:00,0.17181000000000002,-5.585,0,5.585,11.372,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
14,2024-06-17 03:30:00,0.17181000000000002,-5.879,0,5.879,12.699,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
15,2024-06-17 03:45:00,0.17181000000000002,-5.93,0,5.93,14.095,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
16,2024-06-17 04:00:00,0.17356,-7.445,0,7.445,15.503,-50.0,0,50.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
